,num_devices,task_data,local_completion_time,energy_consumed,total_weighted_waste,completion_time
0,50,10,9.207925184692456e-11,3.530219397352057e-06,1.765155738301952e-06,
1,50,5,6.782229891633381e-10,2.6002339333239038e-05,1.30015087781141e-05,
2,50,40,5.124257555102137e-10,1.9645851866957355e-05,9.823182146356433e-06,
3,50,25,1.4820343351794584e-10,5.681960107897021e-06,2.8410541556652694e-06,
4,50,35,1.7168063818143363e-09,6.582050862722338e-05,3.29111127168026e-05,
5,50,30,2.300268126345409e-09,8.818980384674419e-05,4.4096052057435266e-05,
6,50,15,1.7335354884900392e-09,6.646188456916866e-05,3.323180905232857e-05,
7,50,10,1.594648200783415e-10,6.113709546333801e-06,3.05693450557694e-06,
8,50,5,5.319236380242178e-10,2.0393379694101924e-05,1.0196955808869974e-05,
9,50,45,1.6644824867292433e-10,6.381446681357479e-06,3.190806564803076e-06,
10,50,30,1.2966900405236529e-09,4.971370033522613e-05,2.4857498512633327e-05,
11,50,40,1.100457584438325e-09,4.219035920280577e-05,2.1095729830195106e-05,
12,50,25,1.5694918562485665e-10,6.017262829335025e-06,3.008709889260325e-06,
13,50,40,2.0045413469100322e-10,7.685195745747546e-06,3.8426980999411185e-06,
14,50,35,1.4096773888980874e-10,5.404551364697954e-06,2.702346166218422e-06,
15,50,40,2.804121184607178e-10,1.0750698772925272e-05,5.375489592521866e-06,
16,50,40,2.8339133952305863e-10,1.0864918901481048e-05,5.432601146410285e-06,
17,50,15,3.8536495157792796e-10,1.4774477418448699e-05,7.387431391700139e-06,
18,50,35,8.202390967137209e-10,3.1447084023869824e-05,1.572395213148327e-05,
19,50,5,5.574551985342893e-11,2.137223224067952e-06,1.0686394847939027e-06,
20,50,45,4.0044395857112875e-10,1.5352590314812147e-05,7.676495379385359e-06,
21,50,10,1.7520234991154573e-09,6.717069499517867e-05,3.358622350933889e-05,
22,50,10,1.2300745277811538e-09,4.715973328476537e-05,2.3580481679646576e-05,
23,50,25,3.010037571861217e-10,1.154016003584402e-05,5.7702305198006025e-06,
24,50,35,1.5723497400919861e-09,6.0282196483545705e-05,3.01418844166429e-05,
25,50,30,1.2697778684042858e-09,4.8681916625703736e-05,2.434159320178607e-05,
26,50,30,9.832195280451371e-10,3.769557832127638e-05,1.884828077040221e-05,
27,50,35,1.113765154776942e-09,4.2700557124690634e-05,2.1350835444922705e-05,
28,50,30,3.3640647008502344e-10,1.2897461939234355e-05,6.44889917285222e-06,
