,Task Size (Mbit),Number of Devices,Transmission Rate (kb/s),Mean Completion Time (s),Energy Consumption (Joules)
0,5,50,500,0.006666666666666667,2.8125e-72
1,10,50,500,8680031.619128473,1.0
2,15,50,500,13018537.596969448,1.5
3,20,50,500,17351847.616884075,2.0
4,25,50,500,21686374.843813647,2.5
5,30,50,500,0.04,1.6875e-71
6,35,50,500,30360847.622181498,3.5
7,40,50,500,34696625.36357792,4.0
8,45,50,500,39030154.224884994,4.5
9,5,50,1000,0.006666666666666667,2.8125e-72
10,10,50,1000,0.013333333333333334,5.625e-72
11,15,50,1000,0.02,8.4375e-72
12,20,50,1000,17345756.837996572,2.0
13,25,50,1000,0.03333333333333333,1.40625e-71
14,30,50,1000,0.04,1.6875e-71
15,35,50,1000,30347996.616874218,3.5
16,40,50,1000,0.05333333333333334,2.25e-71
17,45,50,1000,39015631.545853205,4.5
18,5,50,1500,0.006666666666666667,2.8125e-72
19,10,50,1500,8677454.940389268,1.0
20,15,50,1500,0.02,8.4375e-72
21,20,50,1500,17342236.82364109,2.0
22,25,50,1500,0.03333333333333333,1.40625e-71
23,30,50,1500,26010396.99973726,3.0
24,35,50,1500,0.04666666666666667,1.96875e-71
25,40,50,1500,0.05333333333333334,2.25e-71
26,45,50,1500,39008994.661450505,4.5
27,5,50,2000,4341685.608642549,0.5
28,10,50,2000,0.013333333333333334,5.625e-72
29,15,50,2000,0.02,8.4375e-72
30,20,50,2000,17342184.33627734,2.0
31,25,50,2000,0.03333333333333333,1.40625e-71
32,30,50,2000,0.04,1.6875e-71
33,35,50,2000,0.04666666666666667,1.96875e-71
34,40,50,2000,34672527.41378198,4.0
35,45,50,2000,0.06,2.53125e-71
36,5,50,2500,0.006666666666666667,2.8125e-72
37,10,50,2500,0.013333333333333334,5.625e-72
38,15,50,2500,0.02,8.4375e-72
39,20,50,2500,17340452.543287974,2.0
40,25,50,2500,0.03333333333333333,1.40625e-71
41,30,50,2500,0.04,1.6875e-71
42,35,50,2500,30339923.664705686,3.5
43,40,50,2500,0.05333333333333334,2.25e-71
44,45,50,2500,39006284.04335623,4.5
45,5,50,3000,4344017.482849259,0.5
46,10,50,3000,8674740.977660077,1.0
47,15,50,3000,13007686.29338367,1.5
48,20,50,3000,0.02666666666666667,1.125e-71
49,25,50,3000,0.03333333333333333,1.40625e-71
50,30,50,3000,26008106.554624565,3.0
51,35,50,3000,0.04666666666666667,1.96875e-71
52,40,50,3000,34670047.646446206,4.0
53,45,50,3000,39004756.50722211,4.5
54,5,100,500,0.006666666666666667,2.8125e-72
55,10,100,500,8682972.416663527,1.0
56,15,100,500,0.02,8.4375e-72
57,20,100,500,17352012.990353268,2.0
58,25,100,500,0.03333333333333333,1.40625e-71
59,30,100,500,0.04,1.6875e-71
